ids;Rank;Gender;Athlete;Height;Weight;Smoking;Sprint;English;Reading;Math;Writing;LiveOnCampus
20230;1;0;1;203,5;;0;5,203;81,60;75,60;65,36;76,07;1
20248;1;;0;155,8;69,8;2;6,449;88,31;97,32;85,07;88,38;0
20531;1;0;1;;118,7;0;4,503;93,69;87,70;76,35;79,08;1
20615;1;1;0;168,7;76;0;;85,44;85,49;69,92;84,34;1
20680;1;1;1;172;77,1;0;6,621;85,34;84,05;50,70;;1
21083;1;1;0;183;106,4;0;6,746;78,85;86,92;68,53;71,42;0
21492;1;1;1;162,3;73,3;0;4,644;81,83;74,06;71,23;82,36;1
21606;1;1;1;173,7;72,5;0;5,671;83,33;94,15;67,51;74,97;1
21939;1;0;1;167,9;;0;5,326;87,70;81,10;61,61;;0
22069;1;0;0;184,3;102;0;7,135;83,19;89,74;72,56;76,63;1
22186;1;0;0;177,7;95,5;1;8,549;94,41;92,48;73,18;84,32;1
22416;1;0;1;;;0;4,679;76,87;81,84;76,81;76,28;0
22425;1;1;1;165,2;;;5,817;82,80;79,38;51,32;75,98;0
22567;1;1;1;163,7;88;0;4,819;80,07;103,62;79,17;75,56;1
23017;1;;0;182,2;101,9;0;7,638;76,63;84,19;65,25;72,61;0
23217;1;0;0;181,4;101,6;0;6,475;75,20;81,54;66,66;85,38;0
23767;1;0;1;169,7;75,5;0;5,654;77,42;79,14;60,06;76,25;
23889;1;0;1;178,5;79,6;0;4,593;81,74;86,41;66,21;76,24;1
23937;1;1;0;159;63,4;2;8,865;83,79;87,48;57,57;81,66;
24153;1;1;0;157,8;48,3;2;8,480;81,00;70,87;48,06;88,89;
24202;1;1;0;145,8;74,6;;6,839;79,00;78,47;59,89;79,02;1
24267;1;1;0;144,8;51,6;0;6,822;86,13;84,98;59,08;81,71;1
24556;1;1;0;;81,8;0;6,259;84,09;69,80;;;1
24656;1;1;0;170,5;;0;8,224;81,68;88,16;70,56;72,53;1
24985;1;1;0;170,9;;1;7,025;;77,65;56,04;;1
25382;1;0;1;182,2;74,5;0;4,574;87,54;84,77;69,78;78,52;0
25577;1;1;0;170,6;80,8;2;8,138;91,36;77,64;59,33;89,69;1
25701;1;1;0;158,4;74,4;0;6,136;83,97;85,85;57,74;83,65;1
25740;1;1;0;170,1;70,2;0;8,285;82,56;89,88;81,44;;0
25893;1;0;1;178,6;85,8;0;5,798;78,84;71,03;60,19;74,68;0
26140;1;1;1;175,3;88,7;0;4,634;83,15;83,95;77,60;89,07;0
26435;1;1;0;147,8;73,7;2;5,513;77,97;89,03;79,61;92,30;1
26481;1;0;1;186,3;82,2;;5,707;64,01;76,44;68,95;73,62;1
26691;1;1;1;162,3;67,8;0;4,895;85,27;77,75;69,30;75,60;0
26707;1;0;0;197,9;78,3;0;8,991;83,82;87,67;70,43;74,04;0
26998;1;0;1;189,4;93,1;0;5,259;85,24;81,39;70,74;;0
27539;1;1;0;189,4;121;0;6,550;85,43;87,70;70,57;77,46;1
27765;1;1;1;172;89,1;0;5,978;70,26;69,19;64,17;66,76;1
28642;1;1;0;166,2;68,1;0;;80,82;69,00;62,53;82,44;
29142;1;1;0;174,4;;0;6,572;89,48;78,00;59,24;81,95;1
29516;1;1;0;160;;2;;83,57;84,35;74,31;80,70;
30056;1;0;1;183,3;79,8;;;81,35;73,57;67,89;69,86;1
30164;1;0;0;176,7;83,4;;6,838;71,07;86,60;63,45;75,72;0
30426;1;0;0;188,3;71,6;0;8,044;80,01;;59,68;76,80;1
30826;1;1;1;166,7;72,1;0;;86,02;79,63;74,44;83,52;0
30953;1;1;0;;54;0;7,875;72,79;71,65;68,83;78,85;1
30989;1;1;1;165,2;69,8;0;;90,44;87,64;82,37;;0
31227;1;1;0;173,7;67,9;2;7,494;82,28;81,25;61,78;78,66;1
31793;1;1;0;146,9;70,6;2;8,014;94,74;96,24;69,93;88,19;1
31807;1;0;0;198,6;132,4;0;7,177;;73,72;58,64;77,89;1
31862;1;0;1;186,1;;;5,625;75,44;86,14;59,64;76,88;1
32187;1;0;1;175;69,1;0;4,704;89,08;89,63;;72,86;1
32219;1;0;0;178,8;111,9;0;5,753;82,45;89,05;85,19;75,51;1
32304;1;1;1;170,8;71,3;0;5,404;82,77;73,27;55,81;79,15;1
32415;1;;1;172,7;88,4;0;;87,86;75,84;65,55;77,06;1
32521;1;0;1;196,8;104,5;0;4,979;76,90;85,24;75,94;;0
32776;1;1;0;167,7;100,5;0;8,057;89,33;89,86;59,70;84,88;
32895;1;0;0;156,8;;0;7,435;;76,19;70,84;82,31;1
33055;1;0;1;177,2;;0;4,673;;74,07;57,48;73,15;1
33153;1;;0;164,6;90,6;0;7,181;;84,98;75,66;87,03;1
34019;1;0;0;164,2;114,9;2;;86,16;94,94;68,78;71,93;0
34033;1;1;0;161,1;63,9;2;6,428;84,34;;68,01;84,32;1
34176;1;0;1;177;78,7;0;5,522;65,26;77,09;56,32;72,51;1
34417;1;1;1;171,6;;0;5,138;80,95;73,22;61,00;81,69;0
34595;1;1;1;166,7;68,9;0;5,544;93,78;83,49;66,03;77,69;1
34705;1;0;0;189,4;122,2;0;6,850;82,95;63,56;57,54;75,98;1
34717;1;0;1;195,5;71,5;0;5,887;76,47;80,82;68,19;78,88;1
34800;1;1;1;173,8;76,6;2;;74,74;73,12;54,49;78,87;1
34919;1;0;0;186,3;;1;;59,83;74,71;55,54;74,97;1
35023;1;1;0;158,6;87,9;0;;94,43;87,34;79,93;79,63;1
35599;1;0;0;170,9;99,3;;7,323;74,07;73,45;63,54;;1
36109;1;1;1;176,9;76,3;0;5,162;82,92;81,07;64,33;81,49;1
36173;1;1;1;173,7;77,9;2;6,295;76,98;69,59;66,05;71,83;1
36524;1;0;1;188,6;75,8;2;5,707;75,05;71,04;54,73;72,09;1
36555;1;0;0;184,6;115;2;6,716;70,48;85,48;65,88;71,44;0
37458;1;1;0;154,6;67,5;0;6,747;80,52;81,38;67,75;82,68;0
38091;1;0;1;199,8;108,2;2;5,768;67,03;68,43;64,06;68,87;1
38134;1;0;1;164,8;88,3;0;4,873;84,95;81,01;62,08;71,21;1
38186;1;0;0;176,8;;0;7,976;74,88;78,19;61,91;85,39;0
38365;1;0;1;168,7;79,5;0;5,808;77,09;79,08;60,93;76,27;1
38528;1;1;0;158,5;58;1;7,706;85,24;82,77;82,14;83,03;1
38775;1;0;1;179,3;69,3;0;;79,64;68,83;47,62;77,11;1
38980;1;0;0;190,3;74,9;0;8,926;88,44;84,15;78,38;69,52;0
39006;1;1;1;171,6;68,7;0;6,663;89,49;86,13;65,30;84,68;
39281;1;0;1;183,1;83,7;0;5,653;87,89;93,30;70,65;75,39;1
39341;1;0;1;186,6;96,2;0;5,456;77,64;71,09;66,48;74,43;1
39542;1;1;0;185,6;96,8;0;7,930;75,38;76,45;63,70;76,69;1
39550;1;0;1;190,9;76,3;0;5,328;89,24;80,79;;78,24;0
39715;1;0;1;;;0;4,751;;80,51;70,42;74,57;1
40161;1;1;0;155,5;89,6;0;7,296;87,87;91,89;77,23;86,60;1
40408;1;0;0;187,7;82,2;0;;75,66;81,97;60,76;75,20;1
40619;1;0;0;166,9;121,5;1;5,537;82,24;93,34;63,28;;1
40803;1;1;0;158,4;61,5;0;6,566;94,64;89,06;70,44;88,15;1
41254;1;1;0;143,6;59;0;7,171;85,53;76,35;55,19;84,97;1
41288;1;0;0;176,9;79,9;2;7,848;79,48;101,59;73,49;71,67;1
41397;1;1;0;149,7;74,3;0;6,673;84,86;80,98;71,64;86,86;0
41411;1;1;1;168,4;;0;;86,76;74,05;48,78;91,14;1
42023;1;1;0;161,6;57,4;0;7,701;72,31;89,03;78,04;72,55;0
42540;1;1;1;165,9;69,5;0;5,360;75,06;79,50;59,10;76,46;1
42630;1;0;0;214,4;158,8;0;6,646;71,29;83,84;68,85;76,56;1
42681;1;0;1;171,7;87,1;1;5,771;69,96;78,19;68,17;78,57;1
42769;1;1;0;152,8;64,4;1;;75,07;72,17;49,40;75,89;1
42850;1;0;0;159,6;52,6;2;7,817;60,96;69,87;58,97;71,56;1
42914;1;1;1;177,6;86,5;0;6,118;85,06;80,56;69,25;85,20;1
43142;1;0;0;;79,3;0;6,348;96,48;81,68;63,49;85,67;1
43221;1;1;1;168,1;;0;;76,23;79,79;64,83;83,58;1
43402;1;1;0;167,2;77,7;0;9,247;82,11;77,55;60,62;70,67;1
