SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,REGION_RATING_CLIENT_W_CITY,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21
228261,0,Revolving loans,F,N,Y,1,90000,202500,10125,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-15386,-584,-2865,-1813,1,1,1,1,1,1,Security staff,2,0,0,0,0,0,0,Business Entity Type 3,0.8652066777732458,0.3743047371021772,0.17249546677733105,0,4,0,-995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416579,0,Cash loans,F,N,Y,1,126000,450000,22018.5,Other_B,Working,Secondary / secondary special,Single / not married,House / apartment,0.00496,-12060,-4269,-5920,-4571,1,1,1,1,1,0,Medicine staff,2,0,0,0,0,0,0,Other,0.1945336204819559,0.7351385025708105,0.6956219298394389,0,2,0,-655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223284,0,Cash loans,F,N,Y,0,99000,555273,15399,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.022625,-20981,-8446,-12616,-3767,1,1,1,1,0,0,Laborers,2,0,0,0,0,0,0,Military,0.5022171026134231,0.7763221001487723,0.3046721837533529,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417065,0,Cash loans,M,N,Y,0,202500,508495.5,35518.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008019,-17398,-2937,-7131,-928,1,1,0,1,0,0,Low-skill Laborers,2,0,0,0,0,0,0,Self-employed,0.5022171026134231,0.546662329076833,0.5849900404894085,0,0,0,-2071,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148263,0,Cash loans,F,N,Y,0,94950,61128,6084,Family,Working,Secondary / secondary special,Widow,House / apartment,0.035792000000000004,-16702,-1398,-7806,-105,1,1,0,1,0,0,Sales staff,2,0,0,0,0,0,0,Self-employed,0.5022171026134231,0.7050433079756402,0.6006575372857061,0,0,0,-2421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180983,0,Cash loans,F,N,Y,0,135000,490495.5,27517.5,Children,State servant,Higher education,Married,House / apartment,0.005084,-16821,-6137,-1422,-366,1,1,0,1,1,0,Core staff,2,0,0,0,0,0,0,School,0.6855240764468892,0.7010028437824639,0.6380435278721609,0,0,0,-201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201708,1,Cash loans,F,Y,Y,1,81000,573408,29277,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.020246,-11776,-3610,-669,-3329,1,1,1,1,1,0,Laborers,3,0,0,0,0,0,0,Business Entity Type 3,0.11154681854479463,0.4562911010223129,0.11761373170805695,1,1,1,-2100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319730,0,Revolving loans,F,Y,Y,0,135000,270000,13500,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,0.025164,-8101,-780,-2647,-776,1,1,0,1,0,1,Managers,2,0,0,0,0,0,0,Business Entity Type 3,0.11986169071889405,0.5132833134461585,0.5585066276769286,0,0,0,-366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419979,0,Cash loans,F,Y,Y,0,121500,314100,16573.5,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.009657,-14420,-314,-4179,-4287,1,1,0,1,0,0,Cooking staff,2,0,0,0,0,0,0,Self-employed,0.5022171026134231,0.6067272815805814,0.4794489811780563,0,0,0,-1077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370479,1,Cash loans,M,Y,Y,0,135000,592560,32274,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.020713,-10238,-539,-4896,-1276,1,1,0,1,0,0,Laborers,3,0,0,0,1,1,1,Industry: type 7,0.5022171026134231,0.11728308064795387,0.5352762504724826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283529,0,Cash loans,M,Y,Y,1,180000,797557.5,28647,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018029,-17768,-2592,-840,-840,1,1,0,1,0,0,Laborers,3,0,0,0,0,0,0,Self-employed,0.5022171026134231,0.5071520951149078,0.6212263380626669,1,6,0,-1939,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
298812,0,Cash loans,F,Y,Y,0,130500,373311,19188,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010147,-9817,-1926,-5334,-2488,1,1,0,1,0,0,Laborers,2,0,0,0,0,0,0,Business Entity Type 2,0.21429927250170866,0.4600422638856653,0.3441550073724169,0,0,0,-1643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222689,1,Cash loans,F,N,Y,2,189000,900000,26446.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-14490,-2197,-416,-79,1,1,1,1,0,0,Laborers,2,0,0,0,0,0,0,Self-employed,0.4906229873722816,0.3447396009513504,0.5352762504724826,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250178,0,Cash loans,F,Y,Y,0,157500,270000,29079,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.009175,-9645,-108,-372,-2315,1,1,0,1,0,0,Laborers,2,0,0,0,0,0,0,Business Entity Type 2,0.5022171026134231,0.7398881527527937,0.7324033228040929,0,0,0,-568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111765,0,Cash loans,F,N,Y,0,76536,450000,12505.5,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.018209,-8639,-277,-3487,-1324,1,1,1,1,0,0,Laborers,3,0,0,0,0,0,0,Business Entity Type 1,0.4202199122982173,0.547317980829731,0.4632753280912678,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
231005,0,Cash loans,F,N,N,0,112500,781920,28084.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19916,-6495,-3242,-3295,1,1,0,1,1,0,Core staff,2,0,0,0,0,0,0,Kindergarten,0.5022171026134231,0.44932342254939744,0.5100895276257282,0,4,0,-1719,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369451,0,Cash loans,M,Y,N,0,225000,1221354,35842.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-16705,-1459,-3368,-252,1,1,0,1,0,0,Security staff,2,0,0,0,0,0,0,Security,0.5022171026134231,0.4542194742749761,0.5352762504724826,0,0,0,-2335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179789,0,Cash loans,F,N,Y,1,148500,390960,18805.5,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.02461,-13508,-6049,-56,-4511,1,1,1,1,1,0,Managers,2,0,0,0,0,0,0,Industry: type 5,0.5022171026134231,0.5274399691400125,0.5460231970049609,0,0,0,-838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133079,0,Cash loans,F,Y,Y,0,225000,269550,17820,Unaccompanied,Working,Higher education,Single / not married,Rented apartment,0.019101,-19362,-1085,-685,-2907,1,1,0,1,0,0,Managers,2,0,0,0,1,1,0,Business Entity Type 3,0.8137275616483709,0.5831342133562061,0.4525335592581747,0,3,0,-169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431978,0,Cash loans,F,Y,Y,0,202500,332946,16996.5,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01885,-14100,-1284,-5421,-5402,1,1,0,1,0,0,Laborers,2,0,0,0,1,1,0,Business Entity Type 2,0.4703853812653572,0.6904584635520693,0.2636468134452008,0,0,0,-1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266176,0,Cash loans,M,Y,Y,1,441000,521280,44725.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.011657,-16858,-1855,-1654,-401,1,1,1,1,1,0,Drivers,1,0,1,1,0,1,1,Business Entity Type 1,0.5022171026134231,0.700672734695591,0.4471785780453068,0,0,0,-41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416164,1,Cash loans,F,Y,Y,0,193500,675000,32602.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-18391,-9647,-1582,-1939,1,1,1,1,1,0,Cooking staff,2,0,0,0,0,0,0,Kindergarten,0.5022171026134231,0.6328660923659016,0.15474363127259447,1,1,1,-1966,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392928,0,Cash loans,F,Y,N,0,67500,360000,15250.5,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792000000000004,-23142,365243,-8469,-5013,1,0,0,1,1,0,Laborers,2,0,0,0,0,0,0,XNA,0.5022171026134231,0.6683695104427994,0.8027454758994178,0,2,0,-1726,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400951,0,Cash loans,F,Y,Y,0,180000,550980,40221,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.030755,-13399,-214,-4858,-4767,1,1,0,1,0,1,Sales staff,2,0,0,0,0,1,1,Business Entity Type 3,0.32489030399511193,0.2429203230631495,0.3092753558842053,0,3,0,-24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207519,0,Revolving loans,F,N,Y,0,112500,315000,15750,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.032561,-19124,-2986,-3205,-2671,1,1,0,1,1,0,Laborers,1,0,0,0,0,0,0,Business Entity Type 3,0.5022171026134231,0.44858226464124745,0.5370699579791587,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247959,1,Cash loans,M,Y,N,1,157500,101880,12217.5,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.003813,-11752,-550,-641,-1019,1,1,0,1,0,0,Cooking staff,2,0,0,0,1,1,0,Self-employed,0.5022171026134231,0.10073841130726274,0.14734591802757252,0,0,0,-453,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184137,0,Cash loans,F,Y,Y,0,189000,450000,43839,Unaccompanied,State servant,Higher education,Married,House / apartment,0.030755,-20958,-5967,-114,-3882,1,1,1,1,1,0,Managers,2,0,0,0,0,0,0,Medicine,0.5022171026134231,0.5592781482739554,0.0005272652387098817,0,0,0,-1289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210217,0,Cash loans,F,Y,Y,0,157500,582228,16816.5,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.030755,-21541,365243,-962,-4426,1,0,0,1,0,0,Laborers,2,0,0,0,0,0,0,XNA,0.6715800103284426,0.5689832301604412,0.5814837058057234,0,5,0,-781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124174,0,Cash loans,F,N,N,0,112500,942300,30528,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.00496,-18327,-3389,-4892,-1869,1,1,0,1,0,0,Sales staff,2,0,0,0,0,1,1,Self-employed,0.5022171026134231,0.6306174827428763,0.7713615919194317,0,0,0,-1419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100198,0,Cash loans,M,Y,Y,1,135000,531000,32616,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-13116,-1786,-7237,-3168,1,1,0,1,0,0,Drivers,2,0,0,0,0,0,0,Self-employed,0.5022171026134231,0.7489161279000881,0.6397075677637197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149911,0,Cash loans,M,N,N,2,374220,1800000,49500,Family,Working,Higher education,Married,House / apartment,0.018801,-15490,-640,-3413,-4705,1,1,0,1,0,0,Sales staff,2,0,1,1,0,1,1,Other,0.34756301668455475,0.6710782044444684,0.4382813743111921,0,6,0,-1289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306615,0,Cash loans,F,N,N,0,162000,450000,22018.5,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-16925,-1648,-2237,-480,1,1,1,1,0,0,High skill tech staff,1,0,1,1,0,1,1,Government,0.5022171026134231,0.13425955448753193,0.1986200451074864,0,2,0,-827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
