"Agricultural methane emissions (% of total)";"Agricultural nitrous oxide emissions (% of total)";"Agriculture, forestry, and fishing, value added (current US$)";"Changes in inventories (current US$)";"CO2 emissions from electricity and heat production, total (% of total fuel combustion)";"CO2 emissions from gaseous fuel consumption (% of total)";"CO2 emissions from gaseous fuel consumption (kt)";"CO2 emissions from liquid fuel consumption (% of total)";"CO2 emissions from liquid fuel consumption (kt)";"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)";"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)";"CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)";"CO2 emissions from solid fuel consumption (% of total)";"CO2 emissions from solid fuel consumption (kt)";"CO2 emissions from transport (% of total fuel combustion)";"CO2 intensity (kg per kg of oil equivalent energy use)";"Energy related methane emissions (% of total)";"Exports of goods and services (current US$)";"External balance on goods and services (current US$)";"Final consumption expenditure (current US$)";"GDP (current US$)";"GDP per capita (current US$)";"General government final consumption expenditure (current US$)";"GNI (current US$)";"Gross capital formation (current US$)";"Gross domestic savings (current US$)";"Gross fixed capital formation (current US$)";"Gross national expenditure (current US$)";"Gross savings (current US$)";"Gross value added at basic prices (GVA) (current US$)";"Households and NPISHs Final consumption expenditure (current US$)";"Imports of goods and services (current US$)";"Industry (including construction), value added (current US$)";"Manufacturing, value added (current US$)";"Net primary income (Net income from abroad) (current US$)";"Net secondary income (Net current transfers from abroad) (current US$)";"Nitrous oxide emissions in energy sector (% of total)";"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)";"Services, value added (current US$)";"Taxes less subsidies on products (current US$)";"Country";"Year"
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Bolivia";2008
"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Botswana";2008
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Cameroon";2008
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Chile";2008
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Colombia";2008
"true";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Denmark";2008
"true";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Dominican Republic";2008
"true";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Ecuador";2008
"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Egypt, Arab Rep.";2008
"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"Finland";2008
