Country;Year;Agricultural methane emissions (% of total);Agricultural methane emissions (thousand metric tons of CO2 equivalent);Agricultural nitrous oxide emissions (% of total);Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent);Agriculture, forestry, and fishing, value added (current US$);Changes in inventories (current US$);CO2 emissions (kg per 2015 US$ of GDP);CO2 emissions (kg per 2017 PPP $ of GDP);CO2 emissions (kg per PPP $ of GDP);CO2 emissions (kt);CO2 emissions (metric tons per capita);CO2 emissions from electricity and heat production, total (% of total fuel combustion);CO2 emissions from gaseous fuel consumption (% of total);CO2 emissions from gaseous fuel consumption (kt);CO2 emissions from liquid fuel consumption (% of total);CO2 emissions from liquid fuel consumption (kt);CO2 emissions from manufacturing industries and construction (% of total fuel combustion);CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion);CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion);CO2 emissions from solid fuel consumption (% of total);CO2 emissions from solid fuel consumption (kt);CO2 emissions from transport (% of total fuel combustion);CO2 intensity (kg per kg of oil equivalent energy use);Energy related methane emissions (% of total);Exports of goods and services (current US$);External balance on goods and services (current US$);Final consumption expenditure (current US$);GDP (current US$);GDP per capita (current US$);General government final consumption expenditure (current US$);GHG net emissions/removals by LUCF (Mt of CO2 equivalent);GNI (current US$);Gross capital formation (current US$);Gross domestic savings (current US$);Gross fixed capital formation (current US$);Gross national expenditure (current US$);Gross savings (current US$);Gross value added at basic prices (GVA) (current US$);HFC gas emissions (thousand metric tons of CO2 equivalent);Households and NPISHs Final consumption expenditure (current US$);Imports of goods and services (current US$);Industry (including construction), value added (current US$);Manufacturing, value added (current US$);Methane emissions (% change from 1990);Methane emissions (kt of CO2 equivalent);Methane emissions in energy sector (thousand metric tons of CO2 equivalent);Net primary income (Net income from abroad) (current US$);Net secondary income (Net current transfers from abroad) (current US$);Nitrous oxide emissions (% change from 1990);Nitrous oxide emissions (thousand metric tons of CO2 equivalent);Nitrous oxide emissions in energy sector (% of total);Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent);Other greenhouse gas emissions (% change from 1990);Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent);PFC gas emissions (thousand metric tons of CO2 equivalent);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total);PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total);Services, value added (current US$);SF6 gas emissions (thousand metric tons of CO2 equivalent);Taxes less subsidies on products (current US$);Total greenhouse gas emissions (% change from 1990);Total greenhouse gas emissions (kt of CO2 equivalent)
Afghanistan;2008;63.60143663;;73.93838925;;;;;;;;;;12.55868545;392.369;64.55399061;2016.85;;;;14.20187793;443.707;;;13.3227095;;;;;;;;;;;;;;;;;;;;;;;;;;;3.858829956;;;-119.1234045;;;;;;;;;;;
Albania;2008;58.34610283;;68.195119;;;-8.56E+07;;;;;;17.26519337;6.0591133;451.041;37.93103448;2823.59;37.70718232;28.17679558;2.348066298;50.19704433;3736.673;14.50276243;2.618590986;34.67582426;3.34E+08;-2074975;1.55E+09;2.08E+09;674.7933831;2.08E+08;;2.08E+09;6.13E+08;5.35E+08;6.98E+08;2.16E+09;5.42E+08;;;1.34E+09;3.36E+08;;;;;;400000;7.58E+07;;;3.090415505;;;239.3414258;;;;;;;;;;;
Algeria;2008;11.39925106;;58.96812892;;;-1.42E+09;;;;;;47.89898132;47.72885789;40149.983;29.85178727;25111.616;12.45755518;0.212224109;12.54244482;3.530950305;2970.27;26.86757216;4.249970533;79.90632192;9.53E+09;-2.76E+09;5.11E+10;6.67E+10;2829.879469;1.30E+10;;6.48E+10;1.84E+10;1.56E+10;1.98E+10;6.95E+10;1.42E+10;;;3.81E+10;1.23E+10;;;;;;-1.90E+09;5.17E+08;;;6.821027035;;;3510.170703;;;;;;;;;;;
American Samoa;2008;41.26560229;;92.49751;;;;;;;;;;;;;;;;;;;;;0.012806763;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02195484;;;1.33E-15;;;;;;;;;;;
Andorra;2008;;;0;;;;;;;;;;;;;;;;;;;;;;;;;6.11E+08;12833.00404;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
Angola;2008;60.78612308;;88.16681854;;;0;;;;;;12.28070175;5.107187894;297.027;50.31525851;2926.266;29.12280702;2.456140351;19.64912281;0;0;36.49122807;1.125015693;33.71108755;;;;8.08E+09;755.9724447;;;6.68E+09;0;;0;;;;;;;;;;;;0;;;;0.744517572;;;-2394.978779;;;;;;;;;;;
Antigua and Barbuda;2008;70.1961992;;65.06188448;;6436933.333;;;;;;;;0;0;100;275.025;;;;0;0;;;2.801572981;;;;3.37E+08;5239.458329;;;2.97E+08;;;;;;2.91E+08;;;;4.65E+07;8821162.222;;;;-4.00E+07;4833333.333;;;9.340794801;;;75.31402073;;;;;;;2.42E+08;;4.67E+07;;
Argentina;2008;76.91359375;;81.76955077;;8.81E+09;0;;;;;;33.90685257;31.95405966;36728.672;57.86249801;66508.379;15.63334322;5.191337882;16.28596856;3.289200829;3780.677;29.0022743;2.484130568;12.43238032;8.57E+09;3.24E+08;8.72E+10;1.09E+11;3485.690232;5.13E+09;;1.04E+11;2.13E+10;2.16E+10;2.13E+10;1.08E+11;1.65E+10;1.09E+11;;8.21E+10;8.24E+09;4.12E+10;2.99E+10;;;;-5.06E+09;;;;2.604512087;;;16165.09035;;;;;;;5.88E+10;;0;;
Armenia;2008;77.39002806;;79.72915956;;;;;;;;;;;;;;;;;;;;;3.844475571;;;;;;;;;;;;;;;;;;;;;;;;;;;2.201319364;;;-6326.486987;;;;;;;;;;;
Aruba;2008;5.598735222;;7.886370253;;;;;;;;;;0;0;100;447.374;;;;0;0;;;9.624936167;;;;4.88E+08;7567.253642;;;4.73E+08;;;;;;;;;;;;;;;-1.44E+07;446927.3743;;;23.37865977;;;143.9411145;;;;;;;;;;;
